CommunistAgressive,l0,l1,l2,,,54,271,4
CommunistAgressive,l0,,,,,10,83,1
CommunistDefensive,l0,,,,,12,84,1
Boss,l0,,,,,19,140,1
BorderControl,l0,l1,l2,l3,,14,132,1
Nailer,l0,l1,,,,11,105,1
Nailer,l0,l1,l2,,,37,210,4
CommunistDefensive,l0,l1,,,,11,106,1
BorderControl,l0,,,,,8,81,1
CommunistAgressive,l0,l1,l2,l3,,58,347,1
Boss,l0,l1,l2,l3,,97,650,1
BorderControl,l0,l1,l2,l3,l4,83,372,2
BorderControl,l0,l1,l2,,,10,117,1
CommunistDefensive,l0,l1,l2,,,30,180,1
CommunistAgressive,l0,l1,,,,15,111,1
Boss,l0,l1,,,,12,94,1
CommunistDefensive,l0,l1,l2,l3,,166,858,2
CommunistAgressive,l0,l1,l2,l3,l4,34,250,1
Boss,l0,l1,l2,l3,l4,26,213,1
Nailer,l0,l1,l2,l3,,30,203,1
Boss,l0,l1,l2,,,13,109,1
CommunistDefensive,l0,l1,l2,l3,l4,31,125,5
Nailer,l0,,,,,19,68,2
Nailer,l0,l1,l2,l3,l4,16,69,6
Boss,d0,d1,d2,,,17,148,1
Nailer,d0,d1,d2,d3,d4,371,1611,2
Nailer,d0,d1,,,,37,95,3
Nailer,d0,d1,d2,d3,,82,233,4
CommunistDefensive,d0,d1,d2,,,207,196,3
CommunistDefensive,d0,d1,d2,d3,d4,1019,1654,1
CommunistDefensive,d0,d1,,,,61,82,3
BorderControl,d0,d1,d2,,,11,150,1
Boss,d0,d1,d2,d3,d4,82,521,1
CommunistDefensive,d0,d1,d2,d3,,207,414,1
Boss,d0,d1,d2,d3,,196,616,3
BorderControl,d0,d1,d2,d3,d4,86,498,3
CommunistAgressive,d0,d1,d2,d3,d4,27,100,6
BorderControl,d0,d1,d2,d3,,21,334,1
CommunistAgressive,d0,d1,d2,d3,,162,289,4
Boss,d0,d1,,,,15,131,1
Nailer,d0,d1,d2,,,79,180,3
BorderControl,d0,,,,,22,311,1
